id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""C15orf39"" href=""#"" onclick=""resClick(this.id)"">C15orf39</a>",chromosome 15 open reading frame 39,15,"","",75494222,75504510
"<a id=""C15orf40"" href=""#"" onclick=""resClick(this.id)"">C15orf40</a>",chromosome 15 open reading frame 40,15,"","",83657714,83680391
"<a id=""C15orf41"" href=""#"" onclick=""resClick(this.id)"">C15orf41</a>",chromosome 15 open reading frame 41,15,"","",36871826,37102441
"<a id=""C15orf48"" href=""#"" onclick=""resClick(this.id)"">C15orf48</a>",chromosome 15 open reading frame 48,15,"","",45722726,45725647
"<a id=""C15orf54"" href=""#"" onclick=""resClick(this.id)"">C15orf54</a>",chromosome 15 open reading frame 54 (putative),15,"","",39542869,39547043
"<a id=""C15orf56"" href=""#"" onclick=""resClick(this.id)"">C15orf56</a>",chromosome 15 open reading frame 56,15,"","",40542865,40545110
"<a id=""C16orf46"" href=""#"" onclick=""resClick(this.id)"">C16orf46</a>",chromosome 16 open reading frame 46,16,"","",81087101,81110872
"<a id=""C16orf54"" href=""#"" onclick=""resClick(this.id)"">C16orf54</a>",chromosome 16 open reading frame 54,16,"","",29753785,29757311
"<a id=""C16orf58"" href=""#"" onclick=""resClick(this.id)"">C16orf58</a>",chromosome 16 open reading frame 58,16,"","",31500795,31519712
"<a id=""C16orf70"" href=""#"" onclick=""resClick(this.id)"">C16orf70</a>",chromosome 16 open reading frame 70,16,"","",67143843,67182447
"<a id=""C16orf71"" href=""#"" onclick=""resClick(this.id)"">C16orf71</a>",chromosome 16 open reading frame 71,16,"","",4784537,4799397
"<a id=""C16orf72"" href=""#"" onclick=""resClick(this.id)"">C16orf72</a>",chromosome 16 open reading frame 72,16,"","",9185500,9215492
"<a id=""C16orf74"" href=""#"" onclick=""resClick(this.id)"">C16orf74</a>",chromosome 16 open reading frame 74,16,"","",85741123,85784702
"<a id=""C16orf78"" href=""#"" onclick=""resClick(this.id)"">C16orf78</a>",chromosome 16 open reading frame 78,16,"","",49407714,49433342
"<a id=""C16orf82"" href=""#"" onclick=""resClick(this.id)"">C16orf82</a>",chromosome 16 open reading frame 82,16,"","",27078247,27080487
"<a id=""C16orf86"" href=""#"" onclick=""resClick(this.id)"">C16orf86</a>",chromosome 16 open reading frame 86,16,"","",67700716,67702657
"<a id=""C16orf87"" href=""#"" onclick=""resClick(this.id)"">C16orf87</a>",chromosome 16 open reading frame 87,16,"","",46830514,46865092
"<a id=""C16orf89"" href=""#"" onclick=""resClick(this.id)"">C16orf89</a>",chromosome 16 open reading frame 89,16,"","",5094122,5116146
"<a id=""C16orf90"" href=""#"" onclick=""resClick(this.id)"">C16orf90</a>",chromosome 16 open reading frame 90,16,"","",3543483,3546652
"<a id=""C16orf91"" href=""#"" onclick=""resClick(this.id)"">C16orf91</a>",chromosome 16 open reading frame 91,16,"","",1469752,1470748
"<a id=""C16orf92"" href=""#"" onclick=""resClick(this.id)"">C16orf92</a>",chromosome 16 open reading frame 92,16,"","",30034654,30039057
"<a id=""C17orf100"" href=""#"" onclick=""resClick(this.id)"">C17orf100</a>",chromosome 17 open reading frame 100,17,"","",6555081,6556795
"<a id=""C17orf102"" href=""#"" onclick=""resClick(this.id)"">C17orf102</a>",chromosome 17 open reading frame 102,17,"","",32901141,32906388
"<a id=""C17orf49"" href=""#"" onclick=""resClick(this.id)"">C17orf49</a>",chromosome 17 open reading frame 49,17,"","",6918100,6920839
"<a id=""C17orf50"" href=""#"" onclick=""resClick(this.id)"">C17orf50</a>",chromosome 17 open reading frame 50,17,"","",34087905,34092098
"<a id=""C17orf53"" href=""#"" onclick=""resClick(this.id)"">C17orf53</a>",chromosome 17 open reading frame 53,17,"","",42219297,42239844
"<a id=""C17orf58"" href=""#"" onclick=""resClick(this.id)"">C17orf58</a>",chromosome 17 open reading frame 58,17,"","",65987214,65989722
"<a id=""C17orf64"" href=""#"" onclick=""resClick(this.id)"">C17orf64</a>",chromosome 17 open reading frame 64,17,"","",58499849,58508787
"<a id=""C17orf67"" href=""#"" onclick=""resClick(this.id)"">C17orf67</a>",chromosome 17 open reading frame 67,17,"","",54869273,54911281
"<a id=""C17orf75"" href=""#"" onclick=""resClick(this.id)"">C17orf75</a>",chromosome 17 open reading frame 75,17,"","",30655459,30669192
"<a id=""C17orf77"" href=""#"" onclick=""resClick(this.id)"">C17orf77</a>",chromosome 17 open reading frame 77,17,"","",72580817,72590348
"<a id=""C17orf78"" href=""#"" onclick=""resClick(this.id)"">C17orf78</a>",chromosome 17 open reading frame 78,17,"","",35732926,35749662
"<a id=""C17orf80"" href=""#"" onclick=""resClick(this.id)"">C17orf80</a>",chromosome 17 open reading frame 80,17,"","",71228571,71245095
"<a id=""C17orf82"" href=""#"" onclick=""resClick(this.id)"">C17orf82</a>",chromosome 17 open reading frame 82,17,"","",59489111,59490641
"<a id=""C17orf97"" href=""#"" onclick=""resClick(this.id)"">C17orf97</a>",chromosome 17 open reading frame 97,17,"","",260115,264457
"<a id=""C17orf98"" href=""#"" onclick=""resClick(this.id)"">C17orf98</a>",chromosome 17 open reading frame 98,17,"","",36991340,36997642
"<a id=""C18orf21"" href=""#"" onclick=""resClick(this.id)"">C18orf21</a>",chromosome 18 open reading frame 21,18,"","",33552587,33559250
"<a id=""C18orf25"" href=""#"" onclick=""resClick(this.id)"">C18orf25</a>",chromosome 18 open reading frame 25,18,"","",43753987,43846955
"<a id=""C18orf32"" href=""#"" onclick=""resClick(this.id)"">C18orf32</a>",chromosome 18 open reading frame 32,18,"","",47003612,47013604
"<a id=""C18orf54"" href=""#"" onclick=""resClick(this.id)"">C18orf54</a>",chromosome 18 open reading frame 54,18,"","",51884275,51908404
"<a id=""C19orf12"" href=""#"" onclick=""resClick(this.id)"">C19orf12</a>",chromosome 19 open reading frame 12,19,"","",30189792,30206696
"<a id=""C19orf18"" href=""#"" onclick=""resClick(this.id)"">C19orf18</a>",chromosome 19 open reading frame 18,19,"","",58469804,58485902
"<a id=""C19orf25"" href=""#"" onclick=""resClick(this.id)"">C19orf25</a>",chromosome 19 open reading frame 25,19,"","",1473199,1479214
"<a id=""C19orf33"" href=""#"" onclick=""resClick(this.id)"">C19orf33</a>",chromosome 19 open reading frame 33,19,"","",38794890,38795646
"<a id=""C19orf44"" href=""#"" onclick=""resClick(this.id)"">C19orf44</a>",chromosome 19 open reading frame 44,19,"","",16607204,16632163
"<a id=""C19orf47"" href=""#"" onclick=""resClick(this.id)"">C19orf47</a>",chromosome 19 open reading frame 47,19,"","",40825459,40854304
"<a id=""C19orf48"" href=""#"" onclick=""resClick(this.id)"">C19orf48</a>",chromosome 19 open reading frame 48,19,"","",51300949,51308110
"<a id=""C19orf53"" href=""#"" onclick=""resClick(this.id)"">C19orf53</a>",chromosome 19 open reading frame 53,19,"","",13885269,13889586
"<a id=""C19orf54"" href=""#"" onclick=""resClick(this.id)"">C19orf54</a>",chromosome 19 open reading frame 54,19,"","",41246760,41256458
"<a id=""C19orf57"" href=""#"" onclick=""resClick(this.id)"">C19orf57</a>",chromosome 19 open reading frame 57,19,"","",13993160,14016978
"<a id=""C19orf71"" href=""#"" onclick=""resClick(this.id)"">C19orf71</a>",chromosome 19 open reading frame 71,19,"","",3539154,3544028
"<a id=""C19orf73"" href=""#"" onclick=""resClick(this.id)"">C19orf73</a>",chromosome 19 open reading frame 73,19,"","",49621658,49622400
"<a id=""C1D"" href=""#"" onclick=""resClick(this.id)"">C1D</a>",C1D nuclear receptor corepressor,2,"","",68268261,68290136
"<a id=""C1GALT1"" href=""#"" onclick=""resClick(this.id)"">C1GALT1</a>","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",7,"","",7222245,7288280
"<a id=""C1GALT1C1L"" href=""#"" onclick=""resClick(this.id)"">C1GALT1C1L</a>",C1GALT1 specific chaperone 1 like,2,"","",43902289,43903568
"<a id=""C1QA"" href=""#"" onclick=""resClick(this.id)"">C1QA</a>",complement C1q A chain,1,"","",22963120,22966171
"<a id=""C1QB"" href=""#"" onclick=""resClick(this.id)"">C1QB</a>",complement C1q B chain,1,"","",22979728,22988129
"<a id=""C1QBP"" href=""#"" onclick=""resClick(this.id)"">C1QBP</a>",complement C1q binding protein,17,"","",5336096,5342475
"<a id=""C1QC"" href=""#"" onclick=""resClick(this.id)"">C1QC</a>",complement C1q C chain,1,"","",22970125,22974601
"<a id=""C1QL1"" href=""#"" onclick=""resClick(this.id)"">C1QL1</a>",complement C1q like 1,17,"","",43037060,43045671
"<a id=""C1QL2"" href=""#"" onclick=""resClick(this.id)"">C1QL2</a>",complement C1q like 2,2,"","",119913818,119916327
"<a id=""C1QL3"" href=""#"" onclick=""resClick(this.id)"">C1QL3</a>",complement C1q like 3,10,"","",16555733,16563878
"<a id=""C1QL4"" href=""#"" onclick=""resClick(this.id)"">C1QL4</a>",complement C1q like 4,12,"","",49726191,49730971
"<a id=""C1QTNF1"" href=""#"" onclick=""resClick(this.id)"">C1QTNF1</a>",C1q and TNF related 1,17,"","",77019015,77045870
"<a id=""C1QTNF12"" href=""#"" onclick=""resClick(this.id)"">C1QTNF12</a>",C1q and TNF related 12,1,"","",1177832,1182102
"<a id=""C1QTNF2"" href=""#"" onclick=""resClick(this.id)"">C1QTNF2</a>",C1q and TNF related 2,5,"","",159774774,159797633
"<a id=""C1QTNF3"" href=""#"" onclick=""resClick(this.id)"">C1QTNF3</a>",C1q and TNF related 3,5,"","",34017962,34244829
"<a id=""C1QTNF3-AMACR"" href=""#"" onclick=""resClick(this.id)"">C1QTNF3-AMACR</a>",C1QTNF3-AMACR readthrough (NMD candidate),5,"","",33987090,34124633
"<a id=""C1QTNF4"" href=""#"" onclick=""resClick(this.id)"">C1QTNF4</a>",C1q and TNF related 4,11,"","",47611218,47615963
"<a id=""C1QTNF5"" href=""#"" onclick=""resClick(this.id)"">C1QTNF5</a>",C1q and TNF related 5,11,"","",119209651,119217415
"<a id=""C1QTNF6"" href=""#"" onclick=""resClick(this.id)"">C1QTNF6</a>",C1q and TNF related 6,22,"","",37576205,37595463
"<a id=""C1QTNF7"" href=""#"" onclick=""resClick(this.id)"">C1QTNF7</a>",C1q and TNF related 7,4,"","",15341611,15447791
"<a id=""C1QTNF8"" href=""#"" onclick=""resClick(this.id)"">C1QTNF8</a>",C1q and TNF related 8,16,"","",1138225,1146244
"<a id=""C1QTNF9"" href=""#"" onclick=""resClick(this.id)"">C1QTNF9</a>",C1q and TNF related 9,13,"","",24881303,24896669
"<a id=""C1QTNF9B"" href=""#"" onclick=""resClick(this.id)"">C1QTNF9B</a>",C1q and TNF related 9B,13,"","",24465237,24471641
"<a id=""C1R"" href=""#"" onclick=""resClick(this.id)"">C1R</a>",complement C1r,12,"","",7187522,7245041
"<a id=""C1RL"" href=""#"" onclick=""resClick(this.id)"">C1RL</a>",complement C1r subcomponent like,12,"","",7247149,7261810
"<a id=""C1S"" href=""#"" onclick=""resClick(this.id)"">C1S</a>",complement C1s,12,"","",7168021,7178335
"<a id=""C1orf100"" href=""#"" onclick=""resClick(this.id)"">C1orf100</a>",chromosome 1 open reading frame 100,1,"","",244515936,244552965
"<a id=""C1orf105"" href=""#"" onclick=""resClick(this.id)"">C1orf105</a>",chromosome 1 open reading frame 105,1,"","",172389824,172437969
"<a id=""C1orf109"" href=""#"" onclick=""resClick(this.id)"">C1orf109</a>",chromosome 1 open reading frame 109,1,"","",38147241,38157914
"<a id=""C1orf112"" href=""#"" onclick=""resClick(this.id)"">C1orf112</a>",chromosome 1 open reading frame 112,1,"","",169764180,169823220
"<a id=""C1orf115"" href=""#"" onclick=""resClick(this.id)"">C1orf115</a>",chromosome 1 open reading frame 115,1,"","",220863704,220872495
"<a id=""C1orf116"" href=""#"" onclick=""resClick(this.id)"">C1orf116</a>",chromosome 1 open reading frame 116,1,"","",207191866,207206101
"<a id=""C1orf122"" href=""#"" onclick=""resClick(this.id)"">C1orf122</a>",chromosome 1 open reading frame 122,1,"","",38273461,38275126
"<a id=""C1orf127"" href=""#"" onclick=""resClick(this.id)"">C1orf127</a>",chromosome 1 open reading frame 127,1,"","",11006529,11042094
"<a id=""C1orf131"" href=""#"" onclick=""resClick(this.id)"">C1orf131</a>",chromosome 1 open reading frame 131,1,"","",231359510,231376921
"<a id=""C1orf141"" href=""#"" onclick=""resClick(this.id)"">C1orf141</a>",chromosome 1 open reading frame 141,1,"","",67557849,67600653
"<a id=""C1orf146"" href=""#"" onclick=""resClick(this.id)"">C1orf146</a>",chromosome 1 open reading frame 146,1,"","",92683471,92711370
"<a id=""C1orf158"" href=""#"" onclick=""resClick(this.id)"">C1orf158</a>",chromosome 1 open reading frame 158,1,"","",12806147,12823847
"<a id=""C1orf159"" href=""#"" onclick=""resClick(this.id)"">C1orf159</a>",chromosome 1 open reading frame 159,1,"","",1017202,1051469
"<a id=""C1orf162"" href=""#"" onclick=""resClick(this.id)"">C1orf162</a>",chromosome 1 open reading frame 162,1,"","",112016605,112021134
"<a id=""C1orf174"" href=""#"" onclick=""resClick(this.id)"">C1orf174</a>",chromosome 1 open reading frame 174,1,"","",3805696,3816836
"<a id=""C1orf189"" href=""#"" onclick=""resClick(this.id)"">C1orf189</a>",chromosome 1 open reading frame 189,1,"","",154171561,154178809
"<a id=""C1orf194"" href=""#"" onclick=""resClick(this.id)"">C1orf194</a>",chromosome 1 open reading frame 194,1,"","",109648572,109656453
"<a id=""C1orf198"" href=""#"" onclick=""resClick(this.id)"">C1orf198</a>",chromosome 1 open reading frame 198,1,"","",230972864,231005337
"<a id=""C1orf21"" href=""#"" onclick=""resClick(this.id)"">C1orf21</a>",chromosome 1 open reading frame 21,1,"","",184356162,184598153
"<a id=""C1orf210"" href=""#"" onclick=""resClick(this.id)"">C1orf210</a>",chromosome 1 open reading frame 210,1,"","",43747550,43751252
"<a id=""C1orf216"" href=""#"" onclick=""resClick(this.id)"">C1orf216</a>",chromosome 1 open reading frame 216,1,"","",36179477,36184485
"<a id=""C1orf220"" href=""#"" onclick=""resClick(this.id)"">C1orf220</a>",chromosome 1 open reading frame 220 (putative),1,"","",178511930,178518024
"<a id=""C1orf226"" href=""#"" onclick=""resClick(this.id)"">C1orf226</a>",chromosome 1 open reading frame 226,1,"","",162348630,162356608
"<a id=""C1orf229"" href=""#"" onclick=""resClick(this.id)"">C1orf229</a>",chromosome 1 open reading frame 229,1,"","",247273461,247275719
"<a id=""C1orf35"" href=""#"" onclick=""resClick(this.id)"">C1orf35</a>",chromosome 1 open reading frame 35,1,"","",228288427,228291163
"<a id=""C1orf43"" href=""#"" onclick=""resClick(this.id)"">C1orf43</a>",chromosome 1 open reading frame 43,1,"","",154179197,154193066
"<a id=""C1orf50"" href=""#"" onclick=""resClick(this.id)"">C1orf50</a>",chromosome 1 open reading frame 50,1,"","",43232919,43245161
"<a id=""C1orf52"" href=""#"" onclick=""resClick(this.id)"">C1orf52</a>",chromosome 1 open reading frame 52,1,"","",85715635,85725355
"<a id=""C1orf53"" href=""#"" onclick=""resClick(this.id)"">C1orf53</a>",chromosome 1 open reading frame 53,1,"","",197871759,197876489
"<a id=""C1orf54"" href=""#"" onclick=""resClick(this.id)"">C1orf54</a>",chromosome 1 open reading frame 54,1,"","",150244686,150253335
"<a id=""C1orf56"" href=""#"" onclick=""resClick(this.id)"">C1orf56</a>",chromosome 1 open reading frame 56,1,"","",151020226,151023871
"<a id=""C1orf61"" href=""#"" onclick=""resClick(this.id)"">C1orf61</a>",chromosome 1 open reading frame 61,1,"","",156374043,156399340
"<a id=""C1orf74"" href=""#"" onclick=""resClick(this.id)"">C1orf74</a>",chromosome 1 open reading frame 74,1,"","",209952552,209957904
"<a id=""C1orf87"" href=""#"" onclick=""resClick(this.id)"">C1orf87</a>",chromosome 1 open reading frame 87,1,"","",60456065,60539442
"<a id=""C1orf94"" href=""#"" onclick=""resClick(this.id)"">C1orf94</a>",chromosome 1 open reading frame 94,1,"","",34632593,34684731
"<a id=""C20orf141"" href=""#"" onclick=""resClick(this.id)"">C20orf141</a>",chromosome 20 open reading frame 141,20,"","",2795632,2796476
"<a id=""C20orf144"" href=""#"" onclick=""resClick(this.id)"">C20orf144</a>",chromosome 20 open reading frame 144,20,"","",32250132,32251714
"<a id=""C20orf194"" href=""#"" onclick=""resClick(this.id)"">C20orf194</a>",chromosome 20 open reading frame 194,20,"","",3229947,3388309
"<a id=""C20orf197"" href=""#"" onclick=""resClick(this.id)"">C20orf197</a>",chromosome 20 open reading frame 197,20,"","",58630979,58648008
"<a id=""C20orf204"" href=""#"" onclick=""resClick(this.id)"">C20orf204</a>",chromosome 20 open reading frame 204,20,"","",62665079,62670354
"<a id=""C20orf27"" href=""#"" onclick=""resClick(this.id)"">C20orf27</a>",chromosome 20 open reading frame 27,20,"","",3734145,3749035
"<a id=""C20orf78"" href=""#"" onclick=""resClick(this.id)"">C20orf78</a>",chromosome 20 open reading frame 78,20,"","",18789994,18810847
"<a id=""C20orf85"" href=""#"" onclick=""resClick(this.id)"">C20orf85</a>",chromosome 20 open reading frame 85,20,"","",56725957,56736206
"<a id=""C20orf96"" href=""#"" onclick=""resClick(this.id)"">C20orf96</a>",chromosome 20 open reading frame 96,20,"","",251503,271419
"<a id=""C21orf58"" href=""#"" onclick=""resClick(this.id)"">C21orf58</a>",chromosome 21 open reading frame 58,21,"","",47721043,47743813
"<a id=""C21orf59-TCP10L"" href=""#"" onclick=""resClick(this.id)"">C21orf59-TCP10L</a>",,21,"","",33935814,33985181
"<a id=""C21orf62"" href=""#"" onclick=""resClick(this.id)"">C21orf62</a>",chromosome 21 open reading frame 62,21,"","",34162983,34186013
"<a id=""C21orf91"" href=""#"" onclick=""resClick(this.id)"">C21orf91</a>",chromosome 21 open reading frame 91,21,"","",19161290,19191673
"<a id=""C22orf15"" href=""#"" onclick=""resClick(this.id)"">C22orf15</a>",chromosome 22 open reading frame 15,22,"","",24105200,24108050
"<a id=""C22orf23"" href=""#"" onclick=""resClick(this.id)"">C22orf23</a>",chromosome 22 open reading frame 23,22,"","",38339056,38349676
"<a id=""C22orf24"" href=""#"" onclick=""resClick(this.id)"">C22orf24</a>",chromosome 22 open reading frame 24,22,"","",32329506,32341348
"<a id=""C22orf31"" href=""#"" onclick=""resClick(this.id)"">C22orf31</a>",chromosome 22 open reading frame 31,22,"","",29454659,29457907
"<a id=""C22orf39"" href=""#"" onclick=""resClick(this.id)"">C22orf39</a>",chromosome 22 open reading frame 39,22,"","",19428409,19435755
"<a id=""C22orf42"" href=""#"" onclick=""resClick(this.id)"">C22orf42</a>",chromosome 22 open reading frame 42,22,"","",32544992,32555290
"<a id=""C2CD2"" href=""#"" onclick=""resClick(this.id)"">C2CD2</a>",C2 calcium dependent domain containing 2,21,"","",43305220,43374127
"<a id=""C2CD2L"" href=""#"" onclick=""resClick(this.id)"">C2CD2L</a>",C2CD2 like,11,"","",118978053,118989254
"<a id=""C2CD3"" href=""#"" onclick=""resClick(this.id)"">C2CD3</a>",C2 domain containing 3 centriole elongation regulator,11,"","",73723758,73882064
"<a id=""C2CD4A"" href=""#"" onclick=""resClick(this.id)"">C2CD4A</a>",C2 calcium dependent domain containing 4A,15,"","",62359175,62363116
"<a id=""C2CD4B"" href=""#"" onclick=""resClick(this.id)"">C2CD4B</a>",C2 calcium dependent domain containing 4B,15,"","",62455733,62457484
"<a id=""C2CD5"" href=""#"" onclick=""resClick(this.id)"">C2CD5</a>",C2 calcium dependent domain containing 5,12,"","",22601479,22697480
"<a id=""C2CD6"" href=""#"" onclick=""resClick(this.id)"">C2CD6</a>",C2 calcium dependent domain containing 6,2,"","",202352143,202483901
"<a id=""C2orf15"" href=""#"" onclick=""resClick(this.id)"">C2orf15</a>",chromosome 2 open reading frame 15,2,"","",99758075,99767928
"<a id=""C2orf16"" href=""#"" onclick=""resClick(this.id)"">C2orf16</a>",chromosome 2 open reading frame 16,2,"","",27799388,27805589
"<a id=""C2orf27A"" href=""#"" onclick=""resClick(this.id)"">C2orf27A</a>",chromosome 2 open reading frame 27A,2,"","",132439999,132524977
"<a id=""C2orf27B"" href=""#"" onclick=""resClick(this.id)"">C2orf27B</a>",chromosome 2 open reading frame 27B,2,"","",132552533,132559234
"<a id=""C2orf42"" href=""#"" onclick=""resClick(this.id)"">C2orf42</a>",chromosome 2 open reading frame 42,2,"","",70377011,70418203
"<a id=""C2orf48"" href=""#"" onclick=""resClick(this.id)"">C2orf48</a>",chromosome 2 open reading frame 48,2,"","",10281508,10352442
"<a id=""C2orf49"" href=""#"" onclick=""resClick(this.id)"">C2orf49</a>",chromosome 2 open reading frame 49,2,"","",105953996,105965668
"<a id=""C2orf50"" href=""#"" onclick=""resClick(this.id)"">C2orf50</a>",chromosome 2 open reading frame 50,2,"","",11273253,11286916
"<a id=""C2orf66"" href=""#"" onclick=""resClick(this.id)"">C2orf66</a>",chromosome 2 open reading frame 66,2,"","",197669138,197675000
"<a id=""C2orf68"" href=""#"" onclick=""resClick(this.id)"">C2orf68</a>",chromosome 2 open reading frame 68,2,"","",85832376,85839189
"<a id=""C2orf69"" href=""#"" onclick=""resClick(this.id)"">C2orf69</a>",chromosome 2 open reading frame 69,2,"","",200776015,200792996
"<a id=""C2orf73"" href=""#"" onclick=""resClick(this.id)"">C2orf73</a>",chromosome 2 open reading frame 73,2,"","",54558020,54588716
"<a id=""C2orf76"" href=""#"" onclick=""resClick(this.id)"">C2orf76</a>",chromosome 2 open reading frame 76,2,"","",120059792,120124404
"<a id=""C2orf78"" href=""#"" onclick=""resClick(this.id)"">C2orf78</a>",chromosome 2 open reading frame 78,2,"","",74011315,74044275
"<a id=""C2orf80"" href=""#"" onclick=""resClick(this.id)"">C2orf80</a>",chromosome 2 open reading frame 80,2,"","",209030070,209054754
"<a id=""C2orf83"" href=""#"" onclick=""resClick(this.id)"">C2orf83</a>",chromosome 2 open reading frame 83,2,"","",228474805,228498036
"<a id=""C2orf88"" href=""#"" onclick=""resClick(this.id)"">C2orf88</a>",chromosome 2 open reading frame 88,2,"","",191002502,191068210
"<a id=""C3"" href=""#"" onclick=""resClick(this.id)"">C3</a>",complement C3,19,"","",6677714,6720661
"<a id=""C3AR1"" href=""#"" onclick=""resClick(this.id)"">C3AR1</a>",complement C3a receptor 1,12,"","",8209439,8218955
"<a id=""C3P1"" href=""#"" onclick=""resClick(this.id)"">C3P1</a>",complement component 3 precursor pseudogene,19,"","",10152031,10184813
"<a id=""C3orf14"" href=""#"" onclick=""resClick(this.id)"">C3orf14</a>",chromosome 3 open reading frame 14,3,"","",62304696,62321866
"<a id=""C3orf18"" href=""#"" onclick=""resClick(this.id)"">C3orf18</a>",chromosome 3 open reading frame 18,3,"","",50595455,50608458
"<a id=""C3orf20"" href=""#"" onclick=""resClick(this.id)"">C3orf20</a>",chromosome 3 open reading frame 20,3,"","",14716647,14814543
"<a id=""C3orf22"" href=""#"" onclick=""resClick(this.id)"">C3orf22</a>",chromosome 3 open reading frame 22,3,"","",126245841,126277808
"<a id=""C3orf33"" href=""#"" onclick=""resClick(this.id)"">C3orf33</a>",chromosome 3 open reading frame 33,3,"","",155480400,155524076
"<a id=""C3orf35"" href=""#"" onclick=""resClick(this.id)"">C3orf35</a>",chromosome 3 open reading frame 35,3,"","",37440967,37476988
"<a id=""C3orf36"" href=""#"" onclick=""resClick(this.id)"">C3orf36</a>",chromosome 3 open reading frame 36,3,"","",133646989,133648656
"<a id=""C3orf38"" href=""#"" onclick=""resClick(this.id)"">C3orf38</a>",chromosome 3 open reading frame 38,3,"","",88199108,88207115
"<a id=""C3orf52"" href=""#"" onclick=""resClick(this.id)"">C3orf52</a>",chromosome 3 open reading frame 52,3,"","",111805181,111837073
"<a id=""C3orf56"" href=""#"" onclick=""resClick(this.id)"">C3orf56</a>",chromosome 3 open reading frame 56,3,"","",126911973,126917027
"<a id=""C3orf62"" href=""#"" onclick=""resClick(this.id)"">C3orf62</a>",chromosome 3 open reading frame 62,3,"","",49306028,49314665
"<a id=""C3orf67"" href=""#"" onclick=""resClick(this.id)"">C3orf67</a>",chromosome 3 open reading frame 67,3,"","",58727734,59035751
"<a id=""C3orf70"" href=""#"" onclick=""resClick(this.id)"">C3orf70</a>",chromosome 3 open reading frame 70,3,"","",184794625,184870848
"<a id=""C3orf79"" href=""#"" onclick=""resClick(this.id)"">C3orf79</a>",chromosome 3 open reading frame 79,3,"","",153202283,153220486
"<a id=""C3orf84"" href=""#"" onclick=""resClick(this.id)"">C3orf84</a>",chromosome 3 open reading frame 84,3,"","",49215066,49229291
"<a id=""C4BPA"" href=""#"" onclick=""resClick(this.id)"">C4BPA</a>",complement component 4 binding protein alpha,1,"","",207277577,207318317
"<a id=""C4BPB"" href=""#"" onclick=""resClick(this.id)"">C4BPB</a>",complement component 4 binding protein beta,1,"","",207262204,207273337
"<a id=""C4orf17"" href=""#"" onclick=""resClick(this.id)"">C4orf17</a>",chromosome 4 open reading frame 17,4,"","",100432177,100463460
"<a id=""C4orf19"" href=""#"" onclick=""resClick(this.id)"">C4orf19</a>",chromosome 4 open reading frame 19,4,"","",37455546,37595132
"<a id=""C4orf3"" href=""#"" onclick=""resClick(this.id)"">C4orf3</a>",chromosome 4 open reading frame 3,4,"","",120217573,120225600
"<a id=""C4orf33"" href=""#"" onclick=""resClick(this.id)"">C4orf33</a>",chromosome 4 open reading frame 33,4,"","",130014866,130037791
"<a id=""C4orf36"" href=""#"" onclick=""resClick(this.id)"">C4orf36</a>",chromosome 4 open reading frame 36,4,"","",87797357,87813575
"<a id=""C4orf45"" href=""#"" onclick=""resClick(this.id)"">C4orf45</a>",chromosome 4 open reading frame 45,4,"","",159814285,159956381
"<a id=""C4orf46"" href=""#"" onclick=""resClick(this.id)"">C4orf46</a>",chromosome 4 open reading frame 46,4,"","",159587826,159593208
"<a id=""C4orf50"" href=""#"" onclick=""resClick(this.id)"">C4orf50</a>",chromosome 4 open reading frame 50,4,"","",5958838,6020273
"<a id=""C4orf51"" href=""#"" onclick=""resClick(this.id)"">C4orf51</a>",chromosome 4 open reading frame 51,4,"","",146601355,146653948
"<a id=""C5"" href=""#"" onclick=""resClick(this.id)"">C5</a>",complement C5,9,"","",123714613,123837143
"<a id=""C5AR1"" href=""#"" onclick=""resClick(this.id)"">C5AR1</a>",complement C5a receptor 1,19,"","",47813117,47825322
"<a id=""C5AR2"" href=""#"" onclick=""resClick(this.id)"">C5AR2</a>",complement component 5a receptor 2,19,"","",47835431,47850586
"<a id=""C5orf15"" href=""#"" onclick=""resClick(this.id)"">C5orf15</a>",chromosome 5 open reading frame 15,5,"","",133291200,133304316
"<a id=""C5orf22"" href=""#"" onclick=""resClick(this.id)"">C5orf22</a>",chromosome 5 open reading frame 22,5,"","",31532372,31555165
"<a id=""C5orf24"" href=""#"" onclick=""resClick(this.id)"">C5orf24</a>",chromosome 5 open reading frame 24,5,"","",134181369,134195425
"<a id=""C5orf30"" href=""#"" onclick=""resClick(this.id)"">C5orf30</a>",chromosome 5 open reading frame 30,5,"","",102594463,102614361
"<a id=""C5orf34"" href=""#"" onclick=""resClick(this.id)"">C5orf34</a>",chromosome 5 open reading frame 34,5,"","",43486810,43515250
"<a id=""C5orf38"" href=""#"" onclick=""resClick(this.id)"">C5orf38</a>",chromosome 5 open reading frame 38,5,"","",2752006,2758692
"<a id=""C5orf46"" href=""#"" onclick=""resClick(this.id)"">C5orf46</a>",chromosome 5 open reading frame 46,5,"","",147272284,147286101
"<a id=""C5orf49"" href=""#"" onclick=""resClick(this.id)"">C5orf49</a>",chromosome 5 open reading frame 49,5,"","",7830490,7851246
"<a id=""C5orf51"" href=""#"" onclick=""resClick(this.id)"">C5orf51</a>",chromosome 5 open reading frame 51,5,"","",41904445,41921738
